account_id,customer_id,bank_name,account_type,balance,open_date
ACC0000130,CUST0002115,UBA,Credit,17216.62,2021-06-30
ACC0000131,CUST0000472,Citibank,Savings,149093.83,2022-01-03
ACC0000132,CUST0002721,UBA,Current,307773.61,2024-06-03
ACC0000133,CUST0001368,First Bank Nigeria,Current,132520.92,2019-11-11
ACC0000134,CUST0001385,JPMorgan Chase,Savings,205577.89,2018-08-06
ACC0000135,CUST0001137,Barclays,Savings,156339.61,2020-02-05
ACC0000136,CUST0001541,JPMorgan Chase,Savings,124220.04,2020-07-30
ACC0000137,CUST0000751,Citibank,Current,485978.16,2021-08-19
ACC0000138,CUST0002919,First Bank Nigeria,Current,452166.28,2023-04-14
ACC0000139,CUST0001642,Citibank,Savings,43803.32,2019-12-23
ACC0000140,CUST0000886,Citibank,Savings,493692.92,2022-10-07
ACC0000141,CUST0001051,UBA,Credit,184716.82,2018-09-19
ACC0000142,CUST0002674,Citibank,Savings,212915.83,2019-03-16
ACC0000143,CUST0001634,JPMorgan Chase,Credit,347930.5,2024-02-08
ACC0000144,CUST0002393,Citibank,Credit,423623.54,2020-10-02
ACC0000145,CUST0000640,Standard Chartered,Current,377551.29,2018-07-17
ACC0000146,CUST0001301,Access Bank,Savings,401627.85,2023-10-23
ACC0000147,CUST0001733,Access Bank,Credit,288158.85,2018-07-29
ACC0000148,CUST0002988,Barclays,Credit,497515.97,2022-02-09
ACC0000149,CUST0001958,UBA,Current,422526.99,2018-11-11
ACC0000150,CUST0000593,Citibank,Savings,432079.75,2020-12-31
ACC0000151,CUST0000681,Standard Chartered,Current,478015.12,2018-04-05
ACC0000152,CUST0000280,HSBC,Credit,145658.44,2021-08-09
ACC0000153,CUST0002282,Access Bank,Current,62227.76,2023-10-05
ACC0000154,CUST0002356,JPMorgan Chase,Credit,31696.76,2022-10-24
ACC0000155,CUST0001659,Citibank,Credit,157376.56,2020-09-26
ACC0000156,CUST0002495,UBA,Credit,141631.72,2019-10-19
ACC0000157,CUST0002979,Standard Chartered,Savings,144821.21,2022-05-08
ACC0000158,CUST0001165,UBA,Current,437778.4,2022-03-12
ACC0000159,CUST0001572,Standard Chartered,Savings,381732.82,2021-06-03
ACC0000160,CUST0000829,Citibank,Credit,300912.46,2021-08-20
ACC0000161,CUST0001480,JPMorgan Chase,Credit,179603.73,2021-01-05
ACC0000162,CUST0000982,UBA,Credit,78401.04,2023-09-03
ACC0000163,CUST0000291,UBA,Savings,18767.0,2024-11-20
ACC0000164,CUST0002887,HSBC,Credit,267503.59,2023-04-15
ACC0000165,CUST0002013,UBA,Credit,163732.93,2018-12-08
ACC0000166,CUST0001421,HSBC,Credit,269947.5,2022-02-15
ACC0000167,CUST0000528,Standard Chartered,Savings,90485.26,2024-01-08
ACC0000168,CUST0002217,First Bank Nigeria,Current,281671.89,2024-08-19
ACC0000169,CUST0002864,Standard Chartered,Current,55053.95,2024-07-24
ACC0000170,CUST0001345,Standard Chartered,Current,376554.63,2019-09-29
ACC0000171,CUST0001341,HSBC,Credit,33842.37,2024-02-26
ACC0000172,CUST0000290,Access Bank,Current,421628.98,2023-07-09
ACC0000173,CUST0002789,JPMorgan Chase,Savings,258491.21,2023-01-20
ACC0000174,CUST0002845,Barclays,Credit,41268.29,2023-07-19
ACC0000175,CUST0001142,Access Bank,Credit,143060.6,2018-08-23
ACC0000176,CUST0001205,JPMorgan Chase,Current,469653.31,2024-02-17
ACC0000177,CUST0001196,JPMorgan Chase,Current,66673.36,2020-10-13
ACC0000178,CUST0001163,Access Bank,Credit,489524.22,2024-02-13
ACC0000179,CUST0000033,First Bank Nigeria,Savings,355744.68,2018-02-06
ACC0000180,CUST0000152,UBA,Credit,143048.1,2022-10-21
ACC0000181,CUST0000762,UBA,Credit,125027.76,2023-09-15
ACC0000182,CUST0002639,Access Bank,Savings,140739.06,2022-04-18
ACC0000183,CUST0002698,Access Bank,Savings,400678.31,2019-04-14
ACC0000184,CUST0002238,HSBC,Credit,389769.98,2023-11-18
ACC0000185,CUST0002082,Citibank,Credit,189198.33,2019-06-15
ACC0000186,CUST0002172,Barclays,Current,128516.64,2023-07-01
ACC0000187,CUST0001879,Access Bank,Savings,41878.39,2022-07-22
ACC0000188,CUST0002019,HSBC,Savings,392258.43,2023-09-06
ACC0000189,CUST0000478,Barclays,Savings,459820.11,2020-07-07
ACC0000190,CUST0002765,Citibank,Current,281369.02,2024-12-14
ACC0000191,CUST0001010,HSBC,Credit,7068.58,2024-06-01
ACC0000192,CUST0000076,Citibank,Savings,361945.69,2020-05-16
ACC0000193,CUST0000183,Barclays,Current,99476.99,2023-06-06
ACC0000194,CUST0002469,HSBC,Current,319795.57,2022-04-17
ACC0000195,CUST0002131,Access Bank,Savings,484713.56,2018-03-18
ACC0000196,CUST0001791,First Bank Nigeria,Credit,242187.24,2024-01-20
ACC0000197,CUST0000406,Barclays,Credit,251070.23,2021-03-26
ACC0000198,CUST0000744,HSBC,Credit,220929.06,2022-10-30
ACC0000199,CUST0002261,First Bank Nigeria,Savings,391744.94,2021-12-04
ACC0000200,CUST0000798,UBA,Current,119452.3,2024-10-29
ACC0000201,CUST0001183,Standard Chartered,Savings,72334.59,2023-11-29
ACC0000202,CUST0002489,UBA,Current,432456.64,2021-01-15
ACC0000203,CUST0000349,UBA,Current,448245.76,2019-07-23
ACC0000204,CUST0002988,First Bank Nigeria,Savings,204214.1,2018-03-11
ACC0000205,CUST0002024,First Bank Nigeria,Savings,50282.03,2021-04-11
ACC0000206,CUST0002214,UBA,Credit,64670.02,2020-12-21
ACC0000207,CUST0002402,HSBC,Credit,387625.24,2023-10-23
ACC0000208,CUST0002009,First Bank Nigeria,Credit,441716.37,2018-03-04
ACC0000209,CUST0000300,First Bank Nigeria,Credit,264839.43,2022-11-19
ACC0000210,CUST0001689,Barclays,Current,450712.72,2018-04-04
ACC0000211,CUST0001197,Standard Chartered,Savings,268849.73,2023-03-16
ACC0000212,CUST0000214,First Bank Nigeria,Savings,428325.43,2018-09-01
ACC0000213,CUST0001037,UBA,Current,173054.14,2021-05-20
ACC0000214,CUST0000416,Citibank,Credit,191417.55,2020-09-08
ACC0000215,CUST0002307,Standard Chartered,Savings,198988.07,2022-01-14
ACC0000216,CUST0000547,Citibank,Savings,243152.38,2021-03-10
ACC0000217,CUST0002895,Access Bank,Savings,267446.32,2023-11-13
ACC0000218,CUST0000566,First Bank Nigeria,Credit,105764.62,2022-07-23
ACC0000219,CUST0002603,First Bank Nigeria,Savings,315095.09,2023-08-15
ACC0000220,CUST0001872,UBA,Credit,51759.33,2018-04-27
ACC0000221,CUST0001829,Citibank,Credit,476517.17,2021-02-02
ACC0000222,CUST0001645,Access Bank,Credit,469756.83,2018-02-20
ACC0000223,CUST0002348,Access Bank,Credit,486213.74,2019-12-14
ACC0000224,CUST0002308,First Bank Nigeria,Savings,24901.33,2024-07-23
ACC0000225,CUST0001847,HSBC,Current,245152.39,2024-12-09
ACC0000226,CUST0001334,JPMorgan Chase,Current,345832.77,2019-04-25
ACC0000227,CUST0001971,Citibank,Credit,292626.19,2018-04-15
ACC0000228,CUST0000207,Access Bank,Savings,401140.64,2019-12-08
ACC0000229,CUST0001600,Standard Chartered,Current,341121.35,2018-02-19
ACC0000230,CUST0000015,Access Bank,Savings,316742.58,2018-10-25
ACC0000231,CUST0001238,UBA,Savings,498040.39,2022-01-26
ACC0000232,CUST0000169,Barclays,Credit,28087.17,2021-10-16
ACC0000233,CUST0001244,First Bank Nigeria,Savings,89839.99,2021-03-07
ACC0000234,CUST0000747,First Bank Nigeria,Current,195132.47,2021-03-21
ACC0000235,CUST0000599,Citibank,Current,5552.04,2020-05-22
ACC0000236,CUST0000662,Barclays,Credit,269104.13,2020-02-19
ACC0000237,CUST0001036,Standard Chartered,Current,284651.9,2018-08-11
ACC0000238,CUST0001414,Barclays,Current,262464.66,2021-08-25
ACC0000239,CUST0001582,Access Bank,Current,153173.17,2018-03-09
ACC0000240,CUST0000917,HSBC,Current,355247.81,2023-09-06
ACC0000241,CUST0000692,HSBC,Savings,235795.74,2021-04-02
ACC0000242,CUST0002888,HSBC,Credit,15532.95,2018-03-10
ACC0000243,CUST0001512,HSBC,Savings,316433.63,2020-04-04
ACC0000244,CUST0002601,HSBC,Current,27793.72,2020-04-17
ACC0000245,CUST0002429,UBA,Savings,280111.58,2019-02-01
ACC0000246,CUST0000724,Citibank,Savings,77471.89,2020-01-02
ACC0000247,CUST0001673,Citibank,Current,271944.2,2019-07-10
ACC0000248,CUST0002849,UBA,Current,466160.62,2022-03-30
ACC0000249,CUST0002372,UBA,Credit,200875.22,2022-11-16
ACC0000250,CUST0000456,JPMorgan Chase,Credit,123471.8,2018-02-13
ACC0000251,CUST0002269,Access Bank,Current,299135.96,2024-09-09
ACC0000252,CUST0002916,Access Bank,Credit,413548.74,2022-11-23
ACC0000253,CUST0002283,Standard Chartered,Savings,205348.17,2021-06-23
ACC0000254,CUST0001084,JPMorgan Chase,Credit,197203.07,2022-10-29
ACC0000255,CUST0002478,Barclays,Current,252352.18,2022-11-08
ACC0000256,CUST0000304,Barclays,Credit,198122.68,2020-08-06
ACC0000257,CUST0001727,JPMorgan Chase,Current,415796.09,2020-09-01
ACC0000258,CUST0001002,Citibank,Savings,386236.25,2023-10-07
ACC0000259,CUST0000387,Citibank,Savings,493958.67,2021-06-19
ACC0000260,CUST0001735,Citibank,Savings,159724.32,2018-12-19
ACC0000261,CUST0002332,Barclays,Current,456076.02,2022-06-11
ACC0000262,CUST0000220,JPMorgan Chase,Credit,89616.52,2023-12-18
ACC0000263,CUST0002166,Standard Chartered,Credit,68974.54,2019-06-23
ACC0000264,CUST0001934,HSBC,Credit,162359.99,2019-02-17
ACC0000265,CUST0000319,Barclays,Current,29408.68,2024-08-19
ACC0000266,CUST0001289,Access Bank,Savings,50692.85,2024-08-27
ACC0000267,CUST0000103,Access Bank,Current,68230.63,2024-04-08
ACC0000268,CUST0002069,Access Bank,Credit,120387.15,2024-10-08
ACC0000269,CUST0001696,Barclays,Current,422148.15,2018-12-31
ACC0000270,CUST0000932,UBA,Current,259000.94,2019-05-26
ACC0000271,CUST0002916,JPMorgan Chase,Current,351351.77,2018-07-20
ACC0000272,CUST0002115,Barclays,Credit,485035.87,2020-11-28
ACC0000273,CUST0001691,First Bank Nigeria,Current,303135.97,2024-11-18
ACC0000274,CUST0002889,Standard Chartered,Savings,80852.96,2022-07-04
ACC0000275,CUST0002255,Standard Chartered,Savings,127300.28,2022-10-30
ACC0000276,CUST0000903,Barclays,Current,138082.28,2024-12-02
ACC0000277,CUST0001088,HSBC,Current,371160.88,2024-05-03
ACC0000278,CUST0002965,HSBC,Current,238664.76,2023-10-05
ACC0000279,CUST0000202,JPMorgan Chase,Savings,67098.99,2020-07-25
ACC0000280,CUST0001665,First Bank Nigeria,Current,195480.9,2024-11-29
ACC0000281,CUST0000157,HSBC,Savings,1063.82,2021-07-22
ACC0000282,CUST0000126,JPMorgan Chase,Credit,317746.2,2020-01-27
ACC0000283,CUST0002920,HSBC,Credit,382432.15,2024-12-22
ACC0000284,CUST0002168,JPMorgan Chase,Credit,484649.24,2021-11-18
ACC0000285,CUST0001332,First Bank Nigeria,Savings,24730.44,2020-05-06
ACC0000286,CUST0002530,First Bank Nigeria,Credit,369411.83,2023-10-18
ACC0000287,CUST0000529,Access Bank,Savings,151978.15,2019-08-19
ACC0000288,CUST0001618,UBA,Current,181790.14,2022-01-07
ACC0000289,CUST0000082,JPMorgan Chase,Savings,232116.15,2023-09-02
ACC0000290,CUST0002772,Barclays,Current,176831.39,2021-10-29
ACC0000291,CUST0001327,JPMorgan Chase,Current,111327.71,2021-04-29
ACC0000292,CUST0002094,UBA,Savings,194305.6,2020-11-28
ACC0000293,CUST0000343,Access Bank,Savings,451426.58,2021-01-21
ACC0000294,CUST0001170,HSBC,Credit,61813.97,2019-03-09
ACC0000295,CUST0001225,JPMorgan Chase,Current,50263.43,2023-05-02
ACC0000296,CUST0001808,Access Bank,Credit,466119.29,2021-02-24
ACC0000297,CUST0002232,Access Bank,Savings,478590.9,2018-12-02
ACC0000298,CUST0000862,HSBC,Savings,426276.24,2020-08-15
ACC0000299,CUST0000041,Standard Chartered,Savings,92797.8,2018-04-06
ACC0000300,CUST0001163,JPMorgan Chase,Savings,320460.75,2020-05-31
ACC0000301,CUST0001092,Access Bank,Credit,266357.89,2022-02-13
ACC0000302,CUST0001850,Barclays,Credit,301305.8,2023-03-06
ACC0000303,CUST0002892,First Bank Nigeria,Savings,103288.84,2019-02-11
ACC0000304,CUST0000866,Access Bank,Current,321655.36,2024-12-21
ACC0000305,CUST0001124,Barclays,Credit,84727.86,2024-09-03
ACC0000306,CUST0000941,UBA,Credit,289817.72,2022-05-16
ACC0000307,CUST0000461,Barclays,Current,184451.5,2022-08-20
ACC0000308,CUST0001977,JPMorgan Chase,Savings,163653.93,2022-07-11
ACC0000309,CUST0002988,HSBC,Credit,85365.62,2024-06-19
ACC0000310,CUST0002541,Access Bank,Current,314930.02,2023-09-22
ACC0000311,CUST0001448,Barclays,Credit,314618.43,2023-12-26
ACC0000312,CUST0002927,UBA,Credit,26709.56,2020-09-18
ACC0000313,CUST0000834,Barclays,Credit,480112.0,2024-11-22
ACC0000314,CUST0001255,UBA,Current,171021.49,2019-11-27
ACC0000315,CUST0000646,Standard Chartered,Current,102741.09,2023-10-05
ACC0000316,CUST0001661,HSBC,Current,308969.46,2023-09-07
ACC0000317,CUST0000591,Standard Chartered,Credit,130008.4,2021-06-15
ACC0000318,CUST0001606,First Bank Nigeria,Credit,142556.76,2019-11-27
ACC0000319,CUST0001983,Standard Chartered,Savings,11642.73,2022-09-23
ACC0000320,CUST0001175,Access Bank,Credit,137195.43,2022-01-17
ACC0000321,CUST0001188,UBA,Current,333586.52,2019-06-01
ACC0000322,CUST0000507,Barclays,Savings,16537.49,2020-12-21
ACC0000323,CUST0000888,First Bank Nigeria,Current,158086.76,2018-05-21
ACC0000324,CUST0000072,First Bank Nigeria,Credit,334759.9,2021-06-05
ACC0000325,CUST0000012,HSBC,Savings,283426.71,2019-01-19
ACC0000326,CUST0001093,UBA,Credit,464717.69,2018-07-02
ACC0000327,CUST0002931,Access Bank,Current,451640.83,2024-07-20
ACC0000328,CUST0002086,Access Bank,Savings,306302.28,2023-08-01
ACC0000329,CUST0001984,First Bank Nigeria,Credit,248556.68,2024-10-21
ACC0000330,CUST0001913,JPMorgan Chase,Credit,308954.16,2018-04-14
ACC0000331,CUST0001921,First Bank Nigeria,Current,41688.26,2018-04-29
ACC0000332,CUST0000369,First Bank Nigeria,Savings,137561.63,2022-12-05
ACC0000333,CUST0000846,Barclays,Current,353407.75,2024-10-31
ACC0000334,CUST0000682,UBA,Savings,314841.49,2024-05-18
ACC0000335,CUST0002510,First Bank Nigeria,Current,116646.2,2019-09-07
ACC0000336,CUST0002345,Standard Chartered,Savings,410486.47,2020-08-24
ACC0000337,CUST0000937,Barclays,Savings,250024.75,2021-12-17
ACC0000338,CUST0002757,Standard Chartered,Credit,1806.68,2021-06-28
ACC0000339,CUST0000883,Barclays,Savings,320113.24,2019-07-17
ACC0000340,CUST0002027,Barclays,Current,494819.62,2019-04-12
ACC0000341,CUST0002328,Barclays,Current,472034.43,2020-01-15
ACC0000342,CUST0001696,JPMorgan Chase,Savings,40127.36,2018-07-01
ACC0000343,CUST0001071,Barclays,Current,361283.88,2022-10-17
ACC0000344,CUST0001563,HSBC,Current,191100.07,2018-06-24
ACC0000345,CUST0002559,UBA,Credit,249817.7,2021-04-19
ACC0000346,CUST0000160,Citibank,Savings,231051.6,2020-12-21
ACC0000347,CUST0000422,Barclays,Credit,432805.2,2019-08-24
ACC0000348,CUST0001185,Access Bank,Credit,45854.84,2018-11-01
ACC0000349,CUST0002522,Standard Chartered,Current,446894.99,2018-07-13
ACC0000350,CUST0002032,Access Bank,Current,148938.09,2018-12-14
ACC0000351,CUST0000108,Access Bank,Current,365758.37,2019-08-03
ACC0000352,CUST0002879,UBA,Current,321456.03,2022-01-05
ACC0000353,CUST0002281,HSBC,Current,220107.29,2019-05-07
ACC0000354,CUST0002797,Standard Chartered,Savings,306210.75,2018-07-28
ACC0000355,CUST0002212,UBA,Savings,340923.16,2021-07-08
ACC0000356,CUST0001594,UBA,Savings,75367.9,2019-12-25
ACC0000357,CUST0002945,First Bank Nigeria,Current,297639.54,2023-04-23
ACC0000358,CUST0001586,UBA,Savings,393607.06,2018-08-21
ACC0000359,CUST0002304,First Bank Nigeria,Current,55283.56,2023-09-22
ACC0000360,CUST0001349,Barclays,Credit,18037.8,2022-10-19
ACC0000361,CUST0002936,First Bank Nigeria,Current,202526.19,2022-07-22
ACC0000362,CUST0001265,First Bank Nigeria,Credit,203382.13,2022-06-29
ACC0000363,CUST0001625,Citibank,Current,213781.95,2019-03-26
ACC0000364,CUST0002095,Access Bank,Credit,224394.29,2024-06-01
ACC0000365,CUST0001481,Standard Chartered,Credit,217182.16,2024-06-24
ACC0000366,CUST0001229,Access Bank,Credit,198995.52,2022-02-20
ACC0000367,CUST0001493,HSBC,Savings,371978.42,2018-08-28
ACC0000368,CUST0000859,Citibank,Savings,470496.03,2021-02-02
ACC0000369,CUST0002897,First Bank Nigeria,Savings,9177.65,2020-11-25
ACC0000370,CUST0000513,Barclays,Current,149800.79,2022-07-31
ACC0000371,CUST0002764,First Bank Nigeria,Current,110237.74,2019-10-31
ACC0000372,CUST0000376,Access Bank,Current,89547.21,2019-11-19
ACC0000373,CUST0001660,HSBC,Credit,494814.74,2020-08-31
ACC0000374,CUST0002637,JPMorgan Chase,Credit,462641.05,2020-11-29
ACC0000375,CUST0000480,Standard Chartered,Credit,337222.77,2019-08-28
ACC0000376,CUST0000066,Standard Chartered,Savings,318136.94,2022-01-22
ACC0000377,CUST0001878,Standard Chartered,Credit,385007.66,2021-04-21
ACC0000378,CUST0002864,HSBC,Credit,308252.51,2024-05-24
ACC0000379,CUST0001965,Barclays,Current,435913.5,2022-08-08
ACC0000380,CUST0002802,HSBC,Current,389931.83,2023-08-31
ACC0000381,CUST0001017,First Bank Nigeria,Current,43021.49,2022-06-27
ACC0000382,CUST0000125,First Bank Nigeria,Current,341309.79,2024-03-16
ACC0000383,CUST0001707,First Bank Nigeria,Savings,188383.43,2023-12-21
ACC0000384,CUST0002626,JPMorgan Chase,Current,318913.75,2020-04-30
